paymentTypeCode,rateCodeIdCode,year,month,TotalTrips,totalRevenueByPayment,totalTipsCollected,totalTollsPaid
Dispute,Standard rate,2019,1,358,2943.04,-1.0,98.04
Cash,JFK,2019,1,1594,91258.51,0.0,6667.57
Dispute,Newark,2019,1,3,166.9,0.0,21.0
Dispute,Negotiated fare,2019,1,17,-287.26,0.0,0.0
Credit card,Negotiated fare,2019,1,1265,75584.33,7032.47,2720.38
Cash,Newark,2019,1,211,16309.21,0.0,3055.01
Cash,Negotiated fare,2019,1,212,13703.1,0.0,737.46
Cash,Nassau or Westchester,2019,1,74,4610.86,0.0,134.16
Credit card,Newark,2019,1,337,31688.21,4217.84,4896.42
Credit card,Nassau or Westchester,2019,1,89,8057.32,1147.36,148.76
Cash,,2019,1,7,74.3,0.0,0.0
Credit card,Standard rate,2019,1,109474,1754122.17,274866.07,27860.1
Cash,Standard rate,2019,1,69747,864368.14,4.89,9668.25
Dispute,JFK,2019,1,18,336.06,0.0,5.76
No charge,Standard rate,2019,1,882,9135.57,2.36,178.11
Credit card,JFK,2019,1,4692,317329.84,47308.01,20128.88
No charge,Negotiated fare,2019,1,42,67.86,0.0,132.63
No charge,JFK,2019,1,32,1159.86,0.0,63.36
No charge,Newark,2019,1,9,357.6,0.0,46.5
No charge,Nassau or Westchester,2019,1,5,174.01,0.0,7.51
Dispute,Nassau or Westchester,2019,1,1,118.3,0.0,0.0
Dispute,Negotiated fare,2018,5,327,4566.55,-16.15,413.27
Credit card,Newark,2018,5,15291,1533751.88,220892.52,221677.78
No charge,JFK,2018,5,2368,112107.57,-3.54,8817.44
No charge,,2018,5,8,171.65,0.0,0.0
Cash,Negotiated fare,2018,5,4789,268392.47,0.0,16910.62
Cash,Newark,2018,5,4780,365381.17,0.0,57995.73
No charge,Nassau or Westchester,2018,5,132,4067.16,0.0,71.76
No charge,Negotiated fare,2018,5,1412,31197.83,0.0,2087.03
Cash,Group ride,2018,5,48,829.75,0.0,0.0
Cash,Nassau or Westchester,2018,5,1839,118118.3,0.0,3587.55
Dispute,Newark,2018,5,157,6149.82,0.0,708.32
Credit card,,2018,5,65,3482.11,128.81,23.04
No charge,Group ride,2018,5,34,778.05,0.0,0.0
No charge,Newark,2018,5,630,20915.6,-3.27,3475.83
Cash,,2018,5,17,100.5,0.0,0.0
Credit card,Nassau or Westchester,2018,5,3808,357667.94,48437.54,10898.9
Credit card,JFK,2018,5,163821,1.122876921E7,1708971.85,731464.19
Credit card,Standard rate,2018,5,6183315,1.0118532959E8,1.548997554E7,1630325.34
Dispute,Standard rate,2018,5,12570,150727.82,-120.24,3659.21
Cash,JFK,2018,5,61421,3566226.62,0.0,265966.15
Cash,Standard rate,2018,5,2696662,3.363986385E7,0.0,356866.32
Credit card,Negotiated fare,2018,5,24395,1944662.4,222984.82,72112.63
Dispute,JFK,2018,5,567,22698.52,-29.94,1447.91
Dispute,Nassau or Westchester,2018,5,35,1822.77,0.0,67.77
Dispute,Group ride,2018,5,5,9.9,0.0,0.0
No charge,Standard rate,2018,5,45588,512053.54,-112.22,9121.84
Credit card,Group ride,2018,5,9,111.54,70.84,10.0
No charge,Standard rate,2018,6,43029,475483.65,-219.68,11025.01
Dispute,Standard rate,2018,6,12483,145074.89,-127.69,5150.53
No charge,Newark,2018,6,619,17982.45,18.44,1449.77
Dispute,Negotiated fare,2018,6,304,7078.75,-21.46,516.48
Credit card,Negotiated fare,2018,6,23443,1850926.57,216514.51,70003.9
Credit card,Nassau or Westchester,2018,6,3610,343142.68,46826.49,10402.79
Credit card,,2018,6,70,3573.82,94.69,16.26
Dispute,Newark,2018,6,148,5146.35,0.0,655.25
No charge,,2018,6,15,913.75,0.0,0.0
Cash,Standard rate,2018,6,2537078,3.129349743E7,34.76,337240.94
Credit card,Newark,2018,6,13930,1401085.23,202111.05,202349.47
Cash,JFK,2018,6,54481,3154208.02,0.0,233233.24
Cash,Newark,2018,6,4238,313306.43,0.0,48782.99
Cash,Group ride,2018,6,32,790.45,0.0,0.0
Dispute,JFK,2018,6,565,19229.37,-10.56,2620.68
Credit card,JFK,2018,6,154269,1.05807877E7,1611057.83,697762.21
No charge,JFK,2018,6,2067,91296.87,7.0,6353.06
Credit card,Standard rate,2018,6,5855441,9.506417139E7,1.45335823E7,1515699.84
Cash,Nassau or Westchester,2018,6,1719,110349.72,0.0,3174.67
Dispute,Nassau or Westchester,2018,6,29,918.96,0.0,5.76
Cash,Negotiated fare,2018,6,4455,262949.59,0.0,14973.32
No charge,Negotiated fare,2018,6,1423,23912.36,-107.06,2495.8
No charge,Nassau or Westchester,2018,6,149,3636.15,0.0,60.6
Cash,,2018,6,74,1039.14,0.0,12.74
No charge,Group ride,2018,6,29,1384.2,0.0,0.0
Dispute,Group ride,2018,6,5,25.26,0.0,5.76
Credit card,Group ride,2018,6,4,129.65,21.45,95.0
Credit card,Standard rate,2018,7,5142103,8.187719671E7,1.249850656E7,1244983.16
No charge,JFK,2018,7,1910,78088.58,-11.71,4677.78
Cash,Standard rate,2018,7,2414735,2.977048379E7,67.05,323306.26
Credit card,Negotiated fare,2018,7,22650,1738416.29,193234.07,63164.75
Credit card,JFK,2018,7,137763,9427998.6,1418633.98,629568.2
Cash,Negotiated fare,2018,7,4427,271001.82,5.0,15657.26
No charge,Standard rate,2018,7,37178,1721026.5,-18.64,8064.34
Dispute,Negotiated fare,2018,7,287,1140.63,-6.16,278.62
Dispute,Standard rate,2018,7,11136,218427.91,-277.17,2362.01
No charge,Negotiated fare,2018,7,1286,18650.28,-90.88,2554.01
No charge,Newark,2018,7,581,20421.0,25.15,3064.06
Cash,,2018,7,84,991.68,0.0,11.52
Cash,JFK,2018,7,53405,3095658.28,0.0,234292.18
Credit card,Nassau or Westchester,2018,7,3417,318351.02,40222.63,9510.34
Credit card,Newark,2018,7,11503,1149119.82,162351.44,167289.79
No charge,Nassau or Westchester,2018,7,116,3823.57,0.0,79.27
Dispute,Newark,2018,7,136,5505.38,0.0,1435.18
Dispute,Nassau or Westchester,2018,7,39,2384.27,0.0,42.07
Dispute,JFK,2018,7,519,17952.35,-7.92,1977.17
Cash,Newark,2018,7,4308,327521.94,0.0,52187.04
Cash,Nassau or Westchester,2018,7,1865,127021.41,0.0,3620.64
Dispute,Group ride,2018,7,5,8.9,0.0,0.0
No charge,Group ride,2018,7,29,6774.75,0.0,10.5
No charge,,2018,7,10,616.7,0.0,0.0
Credit card,,2018,7,61,4658.5,148.55,41.9
Cash,Group ride,2018,7,24,82.7,0.0,0.0
